FROM,TO,LENGTH,FLOOR,NOTES,TRANSITION
3,4,7.2,3.0,AIR,False
3,99,10.8,3.0,,False
4,99,6.6,3.0,,False
5,6,7.2,3.0,AIR,False
5,91,7.0,3.0,,False
6,91,14.3,3.0,,False
2,7,13.2,2.0,,False
2,1,8.1,2.0,START,False
7,8,16.0,2.0,,False
8,9,2.3,2.0,,False
8,15,9.4,2.0,,False
8,32,4.0,2.0,,False
9,10,2.4,2.0,,False
9,11,2.7,2.0,,False
9,12,3.1,2.0,,False
12,13,6.4,2.0,,False
12,14,6.1,2.0,,False
15,16,10.6,2.0,,False
15,35,3.6,2.0,,False
15,38,2.1,2.0,,False
16,17,13.8,2.0,,False
16,25,3.4,2.0,,False
16,44,2.1,2.0,,False
17,18,17.2,2.0,MEZZANINE,False
17,19,6.0,2.0,,False
17,20,12.4,2.0,,False
17,26,12.3,2.0,,False
21,22,6.2,2.0,,False
21,23,7.5,2.0,,False
21,24,9.7,2.0,,False
21,44,3.6,2.0,,False
25,47,3.8,2.0,,False
25,48,3.4,2.0,,False
26,27,16.6,2.0,,False
26,30,7.3,2.0,,False
27,28,5.4,2.0,,False
27,49,18.2,2.0,,False
27,52,21.6,2.0,,False
28,29,2.9,2.0,,False
30,31,4.2,2.0,,False
32,33,3.5,2.0,,False
32,34,4.5,2.0,,False
35,36,3.8,2.0,,False
35,37,3.5,2.0,,False
38,39,3.0,2.0,,False
38,40,3.0,2.0,,False
38,41,3.6,2.0,,False
41,42,6.3,2.0,,False
41,43,5.2,2.0,,False
44,45,4.2,2.0,,False
44,46,2.9,2.0,,False
49,50,20.5,2.0,,False
50,51,18.1,2.0,,False
51,59,28.5,2.0,,False
51,60,12.0,2.0,,False
51,61,4.3,2.0,AIR,False
52,53,17.2,2.0,,False
52,54,4.4,2.0,AIR,False
52,55,6.5,2.0,,False
52,56,28.3,2.0,,False
52,110,15.0,2.0,AIR,False
54,102,0.7,2.5,SHAFT,True
55,105,12.1,2.5,STAIRS,True
56,57,31.7,2.0,,False
56,109,15.9,2.0,AIR,False
57,58,23.8,2.0,,False
57,108,5.0,2.0,AIR,False
57,59,30.2,2.0,,False
60,103,10.1,2.5,STAIRS,True
61,106,4.2,2.5,SHAFT,True
62,63,21.5,3.0,,False
62,75,25.5,3.0,,False
62,76,19.4,3.0,,False
62,102,7.6,3.0,,False
62,105,16.4,3.0,,False
63,64,10.9,3.0,,False
63,65,17.8,3.0,,False
63,66,33.2,3.0,,False
63,100,19.0,3.0,,False
65,68,7.0,3.0,,False
66,67,5.1,3.0,,False
69,70,7.9,3.0,,False
69,87,7.1,3.0,,False
69,86,12.3,3.0,,False
71,72,7.3,3.0,,False
71,86,16.4,3.0,,False
71,85,15.5,3.0,,False
73,74,6.1,3.0,,False
73,90,7.6,3.0,,False
76,77,30.1,3.0,,False
76,78,16.8,3.0,,False
77,79,18.2,3.0,,False
77,78,17.9,3.0,,False
79,80,20.1,3.0,,False
79,103,11.9,3.0,,False
79,107,18.8,3.0,,False
79,106,4.7,3.0,,False
80,81,13.2,3.0,,False
80,82,8.8,3.0,,False
80,83,11.4,3.0,,False
80,84,10.2,3.0,,False
80,85,13.3,3.0,,False
87,88,15.6,3.0,,False
88,89,14.3,3.0,,False
88,104,27.9,3.0,,False
88,90,6.0,3.0,,False
90,91,11.2,3.0,,False
92,93,14.6,3.0,,False
92,94,16.7,3.0,,False
92,95,20.9,3.0,,False
92,104,25.1,3.0,,False
95,96,6.9,3.0,,False
95,97,10.2,3.0,,False
95,98,7.8,3.0,,False
95,100,25.7,3.0,,False
98,99,10.5,3.0,,False
100,101,13.6,3.0,,False
